AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
95,BangUn,BangUn Project,USEC. MARK ALLAN JAY G. YAMBAO,NULL,OUSSP,CO,68,7/16/2018 14:55,14,2/24/2022 9:46,0,2
96,CAR-FO-4PS-AS,FO Pantawid - Administrative Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
97,CAR-FO-4PS-BDM,FO Pantawid - Beneficiary Data Management Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
98,CAR-FO-4PS-CBS,FO Pantawid - Capability Building Division,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
99,CAR-FO-4PS-CVS,FO Pantawid - Compliance Verification Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
100,CAR-FO-4PS-FDS,FO Pantawid - Family Development Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
101,CAR-FO-4PS-GRS,FO Pantawid - Grievance Redress Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
102,CAR-FO-4PS-IPD,FO Pantawid - Institutional Partnership Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
103,CAR-FO-4PS-MCCT,FO Pantawid - Modified Conditional Cash Transfer Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
104,CAR-FO-4PS-OPS,FO Pantawid - Operation,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
105,CAR-FO-4PS-PMES,FO Pantawid - Planning and Monitoring and Evaluation Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
106,CAR-FO-4PS-RPMO,FO Pantawid Regional Program Management Office,NULL,NULL,CAR-FO-PROSD,14,NULL,NULL,NULL,NULL,0,2
107,CAR-FO-4PS-SMU,FO Pantawid - Social Marketing Unit,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
108,CAR-FO-4PS-SSDMS,FO Pantawid - Social Services Delivery and Management Section,NULL,NULL,CAR-FO-4PS,14,NULL,NULL,NULL,NULL,0,2
109,CAR-FO-AD,FO Administrative Division,NULL,NULL,CAR-FO-OARDA,14,NULL,NULL,NULL,NULL,0,2
110,CAR-FO-AD-GSS,FO General Service Section,NULL,NULL,CAR-FO-AD,14,NULL,NULL,NULL,NULL,0,2
111,CAR-FO-AD-PS,FO Procurement Section,NULL,NULL,CAR-FO-AD,14,NULL,NULL,NULL,NULL,0,2
112,CAR-FO-AD-PSS,FO Property and Supply Section,NULL,NULL,CAR-FO-AD,14,NULL,NULL,NULL,NULL,0,2
113,CAR-FO-AD-RAMS,FO Records Management Section,NULL,NULL,CAR-FO-AD,14,NULL,NULL,NULL,NULL,0,2
114,CAR-FO-ALL,All DSWD Field Office CAR,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,0,2
115,CAR-FO-BAC,FO Bids and Awards Committee,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,0,2
116,CAR-FO-CBS-MTA,FO Minors Travelling Abroad Office,NULL,NULL,CAR-FO-PSD-COMBS,14,NULL,NULL,NULL,NULL,0,2
117,CAR-FO-CBS-SPO,FO Social Pension Office,NULL,NULL,CAR-FO-PSD-COMBS,14,NULL,NULL,NULL,NULL,0,2
118,CAR-FO-CBSS-ANVRC,FO A/NVRC Island Cluster,NULL,NULL,CAR-FO-PSD-CBSS,14,NULL,NULL,NULL,NULL,0,2
119,CAR-FO-CBSS-RHGW,FO Regional Home for Girls and Women,NULL,NULL,CAR-FO-PSD-CBSS,14,NULL,NULL,NULL,NULL,0,2
120,CAR-FO-CBSS-RSCC,FO Reception and Study Center for Children,NULL,NULL,CAR-FO-PSD-CBSS,14,NULL,NULL,NULL,NULL,0,2
121,CAR-FO-CBSS-RSCY,FO Regional Rehabilitation Center for Youth,NULL,NULL,CAR-FO-PSD-CBSS,14,NULL,NULL,NULL,NULL,0,2
122,CAR-FO-COA,FO Commision on Audit,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,0,2
123,CAR-FO-COMBS-ARRS,FO Adoption Resource and Referral Section,NULL,NULL,CAR-FO-PSD-COMBS,14,NULL,NULL,NULL,NULL,0,2
124,CAR-FO-COMBS-SFP,FO Supplementary Feeding Program,NULL,NULL,CAR-FO-PSD-COMBS,14,NULL,NULL,NULL,NULL,0,2
125,CAR-FO-DRMD,FO Disaster Response Management Division,NULL,NULL,CAR-FO-OARDO,14,NULL,NULL,NULL,NULL,0,2
126,CAR-FO-DRMD-DRIMS,FO Regional Response & Information Management Section,NULL,NULL,CAR-FO-DRMD,14,NULL,NULL,NULL,NULL,0,2
127,CAR-FO-DRMD-DRRMS,FO Disaster Response Rehabilitation Managment Section,NULL,NULL,CAR-FO-DRMD,14,NULL,NULL,NULL,NULL,0,2
128,CAR-FO-DRMD-RROS,FO Regiona Resource Operation Section,NULL,NULL,CAR-FO-DRMD,14,NULL,NULL,NULL,NULL,0,2
129,CAR-FO-FMD,FO Financial Management Division,NULL,NULL,CAR-FO-OARDA,14,NULL,NULL,NULL,NULL,0,2
130,CAR-FO-FMD-AS,FO Accounting Section,NULL,NULL,CAR-FO-FMD,14,NULL,NULL,NULL,NULL,0,2
131,CAR-FO-FMD-BS,FO Budget Section,NULL,NULL,CAR-FO-FMD,14,NULL,NULL,NULL,NULL,0,2
132,CAR-FO-FMD-CS,FO Cash Section,NULL,NULL,CAR-FO-FMD,14,NULL,NULL,NULL,NULL,0,2
133,CAR-FO-HRMDD,FO Human Resource Management and Development Division,NULL,NULL,CAR-FO-OARDA,14,NULL,NULL,NULL,NULL,0,2
134,CAR-FO-HRMDD-HRPPMS,FO Human Resource Planning and Performance Management Section,NULL,NULL,CAR-FO-HRMDD,14,NULL,NULL,NULL,NULL,0,2
135,CAR-FO-HRMDD-HRWS,FO Human Resource Welfare Section,NULL,NULL,CAR-FO-HRMDD,14,NULL,NULL,NULL,NULL,0,2
136,CAR-FO-HRMDD-LDS,FO Learning and Development Section,NULL,NULL,CAR-FO-HRMDD,14,NULL,NULL,NULL,NULL,0,2
137,CAR-FO-HRMDD-PAS,FO Personal Administration Section,NULL,NULL,CAR-FO-HRMDD,14,NULL,NULL,NULL,NULL,0,2
138,CAR-FO-IAU,FO Internal Audit Unit,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
